332755;IBUPROFENO, DOSAGEM:100 MG/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL;2.3562;3.2331;
436418;ALTEPLASE, CONCENTRAÇÃO:50 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL + DILU;2472.9900;2356.4762;
267769;PROMETAZINA CLORIDRATO, DOSAGEM:25 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;2.2000;3.2645;
291770;ESCITALOPRAM OXALATO, DOSAGEM:10 MG;0.2400;1.3079;
272166;CICLOBENZAPRINA CLORIDRATO, DOSAGEM:5 MG;0.1000;0.1393;
267511;AMINOFILINA, DOSAGEM:100 MG;0.0750;0.3615;
267282;ESCOPOLAMINA BUTILBROMETO, DOSAGEM:20 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL;1.2250;2.1370;
269603;BISACODIL, DOSAGEM:5 MG;0.1425;1.4694;
393870;DEXCLORFENIRAMINA MALEATO, COMPOSIÇÃO:ASSOCIADA À BETAMETASONA, CONCENTRAÇÃO:0,4;3.0000;3.3847;
272022;TAMOXIFENO CITRATO, DOSAGEM:10 MG;0.8000;1.0708;
269958;BROMOPRIDA, DOSAGEM:5 MG/ML, APRESENTAÇÃO:INJETÁVEL;1.4900;1.9990;
272458;CARBAMAZEPINA, DOSAGEM:200 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA;0.6865;0.6810;
480080;TRIMETAZIDINA DICLORIDRATO, CONCENTRAÇÃO:35 MG, ADICIONAL:LIBERAÇÃO PROLONGADA;1.2925;4.3270;
387340;FORMOTEROL FUMARATO, COMPOSIÇÃO:ASSOCIADO COM BUDESONIDA, CONCENTRAÇÃO:12 MCG + ;18.7300;50.5327;
318969;DI-HIDROERGOCRISTINA MESILATO, COMPOSIÇÃO:ASSOCIADA COM FLUNARIZINA DICLORIDRATO;2.8175;2.5736;
274227;GLICOSAMINA, COMPOSIÇÃO:ASSOCIADA COM CONDROITINA, EM SAIS SULFATOS, CONCENTRAÇÃ;1.3700;1.9602;
274647;SOTALOL CLORIDRATO, DOSAGEM:160 MG;0.7300;1.3172;
394655;MONTELUCASTE SÓDICO, CONCENTRAÇÃO:5 MG, FORMA FARMACÊUTICA:COMPRIMIDO MASTIGÁVEL;0.5195;1.1241;
436612;ESCITALOPRAM OXALATO, CONCENTRAÇÃO:20 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO ORAL - G;16.2000;26.4011;
272363;SERTRALINA CLORIDRATO, DOSAGEM:100MG;0.4481;2.0354;
270786;LOSARTANA POTÁSSICA, DOSAGEM:25 MG;0.7350;1.6625;
305428;CARMELOSE SÓDICA, CONCENTRAÇÃO:5 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO OFTÁLMICA;17.5000;20.9074;
267502;ÁCIDO ACETILSALICÍLICO, DOSAGEM:100 MG;0.0400;0.2013;
272320;METILFENIDATO CLORIDRATO, DOSAGEM:10 MG;0.3900;1.2920;
