420920;24000;14250;6014;12968;0
420417;52000;14250;9021;29178;0
420207;113826;14250;29292;68082;0
421060;168000;14250;23278;58356;0
420220;156000;28500;23278;81050;0
420208;26000;14250;20271;25936;0
420360;211884;0;66493;175068;0
420880;234600;28500;59362;162100;5000
420850;192000;14250;92832;158858;0
421320;312000;57000;70790;168584;0
420830;588168;45250;114105;220456;0
420600;182000;42750;54534;110228;0
420960;168000;28500;47334;110228;0
421775;26000;14250;15250;25936;0
421750;139884;0;29292;126438;0
421450;63942;28500;23278;48630;0
420590;600000;28500;123403;188036;0
420060;78000;42750;21592;35662;0
420650;327768;57000;33620;100502;0
421930;333642;28500;87906;94018;0
421507;52000;14250;23278;35662;0
421175;99826;0;6014;97260;0
421040;51942;14250;11250;19452;0
420213;78000;14250;0;48630;0
421535;52000;14250;23278;32420;0
420055;24000;16750;17264;22694;0
421625;48000;14250;17264;45388;0
420940;347652;0;105124;307990;0
420315;41942;0;27402;0;0
421660;1458300;135750;164952;667852;0
421950;293826;0;45513;116712;0
420165;26000;0;11250;19452;0
420130;361884;31000;20014;259360;5000
421780;192000;28500;35306;142648;0
420757;24000;14250;17264;22694;0
420990;129942;0;25278;71324;0
420560;52000;14250;17264;29178;0
421640;78000;14250;29292;58356;5000
421725;37942;14250;6014;25936;0
421170;216000;0;59362;158858;1500
420180;37942;14250;6014;25936;5000
421917;52000;14250;0;42146;0
420257;26000;14250;17264;16210;0
420890;330738;85500;158208;269086;10000
421935;63942;14250;9021;38904;0
421340;104000;14250;38313;68082;0
420020;105942;28500;12028;68082;3500
420519;26000;14250;6014;16210;0
421230;98225;28500;36492;55114;7500
421080;72000;14250;17264;58356;0
421415;26000;14250;17264;22694;0
421650;186000;0;72576;168584;0
421105;104000;0;27063;77808;10000
420190;57942;28500;11250;35662;0
421560;24000;16750;28014;16210;0
420670;187884;0;53348;136164;0
420970;71926;14250;9021;61598;0
420435;48000;28500;10014;22694;0
420280;297300;42750;112889;207488;2000
421568;26000;14250;20814;22694;0
421370;149826;14250;23278;110228;0
421010;489300;45250;113103;320958;0
420555;26000;0;9564;22694;0
421300;33942;14250;6014;19452;0
421890;137400;0;24056;90776;0
420240;2726730;270750;498299;1034198;0
421715;11942;16750;17264;16210;10000
420543;26000;14250;0;19452;5000
421223;37942;14250;9021;38904;0
421020;37942;14250;6014;29178;0
420660;52000;14250;12028;35662;0
420675;24000;14250;17264;16210;0
421820;408000;57000;60140;149132;0
421220;170400;14250;11250;113470;0
420550;290400;57000;63105;142648;0
421210;120000;16750;61838;100502;0
420945;24000;14250;6014;12968;5000
421810;48000;0;11250;25936;0
421569;24000;14250;6014;12968;5000
421055;24000;14250;17264;22694;0
421985;24000;14250;17264;6484;0
420860;52000;14250;6014;32420;0
420985;48000;0;6014;22694;1500
420620;109200;28500;35306;84292;0
420870;78342;14250;23278;84292;0
420250;52000;0;6014;38904;0
420425;168000;14250;52070;119954;0
420760;33942;0;23278;22694;5000
421910;52000;14250;20271;25936;7500
421265;105942;28500;12028;0;0
420800;72000;14250;13250;55114;0
420430;313314;0;134138;123196;0
421280;301200;28500;77404;162100;20000
421540;33942;0;0;22694;2000
420040;63942;0;37624;19452;0
421755;26000;14250;17264;25936;0
421575;26000;14250;13214;22694;0
421885;26000;14250;17264;25936;0
421187;26000;14250;17264;16210;0
420287;26000;0;6014;0;5000
421125;11942;14250;6014;19452;0
421590;11942;14250;6014;25936;0
